Model,Approach,LTL Formula,Ground Truth,Raw Response
gpt-3.5-turbo,zero_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-3.5-turbo,zero_shot_self_refine,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-3.5-turbo,few_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o-mini,zero_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o-mini,zero_shot_self_refine,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o-mini,few_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o,zero_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o,zero_shot_self_refine,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gpt-4o,few_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
claude-3.5-sonnet,zero_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
claude-3.5-sonnet,zero_shot_self_refine,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
claude-3.5-sonnet,few_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gemini-1.5-pro,zero_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gemini-1.5-pro,zero_shot_self_refine,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
gemini-1.5-pro,few_shot,G(a -> Fb),Yes,"Yes, this is a well-formed formula."
