Natural Language,Atomic Proposition,Ground Truth,AST
"If an authentication attempt holds and policy checking continues until access is granted or unauthorized access is detected, then the system enters lockout.","user_authentication_attempt: q, access_granted: p, security_policy_check: s, unauthorized_access_detected: u, system_lockout: r",G((q&(sU(p|u)))->F(r)),"LImplies(LAnd(AtomicProposition(""q""),Until(Next(Always(AtomicProposition(""s""))), Until(LImplies(AtomicProposition(""q""),AtomicProposition(""p"")), AtomicProposition(""u"")))),AtomicProposition(""r""))"
Eventually the equivalence between password reset or matching two-factor attempt holds exactly when a valid token or infinitely recurring revocations hold.,"valid_token: t, revocation_processed: r, password_reset_completed: p, two_factor_success: v, two_factor_attempt: w",F((p|(v<->w))<->(t|G(F(r)))),"Eventually(LEquiv(LOr(AtomicProposition(""p""),LEquiv(AtomicProposition(""v""),AtomicProposition(""w""))),LOr(AtomicProposition(""t""),Always(Eventually(AtomicProposition(""r""))))))"
Weak authentication continues until validated authentication with verification becomes equivalent to privileged access in the next state.,"weak_authentication_active: w, privileged_access_granted: p, authentication_validated: u, secondary_verification_completed: v",wU((u&v)<->X(p)),"Until(Always(AtomicProposition(""w"")), LEquiv(LAnd(AtomicProposition(""u""),AtomicProposition(""v"")),Next(AtomicProposition(""p""))))"
"Whenever authentication and session persistence hold, eventually token validity and permission granting occur.","authentication_success: u, session_active: s, token_valid: t, permission_granted: p",G(((s & u) -> F((t & p)))),"Always(LImplies(LAnd(AtomicProposition(""s""),AtomicProposition(""u"")),Eventually(LAnd(AtomicProposition(""t""),AtomicProposition(""p"")))))"
"From the next state onward, secure sessions always hold exactly when either valid credentials persist or warning absence allows re-authentication until lockout is removed.","secure_session_active: s, credentials_valid: v, warning_triggered: w, reauthentication_performed: u, lockout_active: t",X(G(s<->(G(v)|(!X(w)U(X(u)U!t))))),"Next(Always(LEquiv(Always(AtomicProposition(""s"")),LOr(Always(AtomicProposition(""v"")),Until(Not(Next(AtomicProposition(""w""))), Until(Next(AtomicProposition(""u"")), Not(AtomicProposition(""t""))))))))"
Temporary access holds and it is not the case that authentication is always avoided until administrator override leads to persistent secure mode following failures.,"authentication_success: q, incorrect_password_detected: w, account_locked: u, secure_mode_active: v, administrator_override: r, temporary_access_granted: t",t&!(G(!q)U(r&((u|w)UG(v)))),"LAnd(AtomicProposition(""t""),Not(Not(Until(Always(Next(Not(AtomicProposition(""q"")))), LAnd(AtomicProposition(""r""),Until(LOr(AtomicProposition(""u""),AtomicProposition(""w"")), Always(AtomicProposition(""v""))))))))"
Valid session holds until password validity aligns with role validation and two-factor completion until re-authentication or immediate role validation occurs.,"valid_session_active: v, password_verified: p, role_validated: u, two_factor_completed: w, reauthentication_triggered: r, temporary_access_granted: t, session_key_rotated: s",vU((p&u)&(wU(r|u))),"Until(AtomicProposition(""v""), LOr(LEquiv(Until(Always(LEquiv(AtomicProposition(""p""),LEquiv(AtomicProposition(""u""),AtomicProposition(""w"")))), AtomicProposition(""r"")),LEquiv(AtomicProposition(""v""),LAnd(LImplies(AtomicProposition(""t""),AtomicProposition(""s"")),LOr(AtomicProposition(""w""),LAnd(AtomicProposition(""r""),Next(Eventually(AtomicProposition(""w"")))))))),Next(AtomicProposition(""u""))))"
Infinitely often either alerts occur or threats fail to trigger responses.,"threat_detected: t, response_executed: r, alert_triggered: w",G(F((w | !(t -> r)))),"Always(Eventually(LOr(AtomicProposition(""w""),Not(LImplies(AtomicProposition(""t""),AtomicProposition(""r""))))))"
Valid authentication persists until privilege escalation detected within two next steps implies alerting or persistent monitoring.,"valid_authentication_attempt: v, privilege_escalation_detected: p, alert_triggered: w",G(v)U(X(X(p))&(w|G(X(p|r)))),"Until(Always(AtomicProposition(""v"")), LImplies(Eventually(Next(Next(AtomicProposition(""p"")))),LOr(AtomicProposition(""w""),Always(Next(AtomicProposition(""p""))))))"
Verification persists until privilege escalation warnings occur or session equivalence holds under timeout constraints.,"secure_session_established: s, privilege_granted: p, warning_triggered: w, verification_required: v, role_validated: r, timeout_occurred: t",vU(p|w|(s<->(!(r|v)U(!t|w)))),"LOr(Until(AtomicProposition(""v""), Until(AtomicProposition(""p""), AtomicProposition(""w""))),LEquiv(AtomicProposition(""s""),Until(Not(LOr(AtomicProposition(""r""),AtomicProposition(""v""))), LOr(Not(AtomicProposition(""t"")),AtomicProposition(""w"")))))"
