Natural Language,Atomic Proposition,Ground Truth,AST
It previously held that if x1 was true then x2 was true before that.,"x1: x1, x2: x2",O(x1 -> H(x2)),"Once(LImplies(AtomicProposition(""x1""),Historically(AtomicProposition(""x2""))))"
"Whenever x1 was true, it becomes false in the previous state and true again in the state before that.",x1: x1,H(x1 -> Y(!x1 & Y(x1))),"Historically(LImplies(AtomicProposition(""x1""),Yesterday(LAnd(Not(AtomicProposition(""x1"")),Yesterday(AtomicProposition(""x1""))))))"
x1 was true sometime before 4 or more transitions.,x1: x2,O(Y(Y(Y(Y(x1))))),"Once(Yesterday(Yesterday(Yesterday(Yesterday(AtomicProposition(""x1""))))))"
At some point x1 was true and x2 was false before that.,"x1: x1, x2: x2",O(x1 & H(!x2)),"Once(LAnd(AtomicProposition(""x1""),Historically(Not(AtomicProposition(""x2"")))))"
"Whenever x1 was true, x1 must be false in the past since x2 held (and x2 will held at some point in the past).","x1: x1, x2: x2",H(x1 -> (!x1 S x2)),"Historically(LImplies(AtomicProposition(""x1""),Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x2""))))"
x1 was true at some point and x2 was historically false.,"x1: x1, x2: x2",O(x1 & H(!x2)),"Once(LAnd(AtomicProposition(""x1""),Historically(Not(AtomicProposition(""x2"")))))"
"If x1 was ever true at some point, x2 must historically be true.","x1: x1, x2: x2",H(x1 -> H(x2)),"Historically(LImplies(AtomicProposition(""x1""),Historically(AtomicProposition(""x2""))))"
"Whenever x1 was true, x2 will be true at some point in the past.","x1: x1, x2: x2",H(x1 -> O(x2)),"Historically(LImplies(AtomicProposition(""x1""),Once(AtomicProposition(""x2""))))"
"Whenever x1 held, it cannot held again since x2 does.","x1: x1, x2: x2",H(x1 -> (!x1 S x2)),"Historically(LImplies(AtomicProposition(""x1""),Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x2""))))"
"If x1, then it was historically the case that x2 was true since x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S !x3)),"Historically(LImplies(AtomicProposition(""x1""),Since(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))"
"Every time x1 was true, previously x2 was true or the previous x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2 | Y(!x3))),"Historically(LImplies(AtomicProposition(""x1""),Once(LOr(AtomicProposition(""x2""),Yesterday(Not(AtomicProposition(""x3"")))))))"
x1 cannot be true three states in a row.,x1: x1,H(!(x1 & Y(x1) & Y(Y(x1)))),"Historically(Not(LAnd(LAnd(AtomicProposition(""x1""),Yesterday(AtomicProposition(""x1""))),Yesterday(Yesterday(AtomicProposition(""x1""))))))"
x1 was true in exactly one state.,x1: x1,O(x1) & H(!x1 S x1) & H(!x1),"LAnd(LAnd(Once(AtomicProposition(""x1"")),Historically(Since(Not(AtomicProposition(""x1"")), AtomicProposition(""x1"")))),Historically(Not(AtomicProposition(""x1""))))"
No more than one thread can have that lock.,"x1: x1, x2: x2",H(!(x1 & x2)),"Historically(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
Make x2 held in any and only those states which come before the last state in which x1 held.,"x1: x1, x2: x2",H(x2 <-> O(x1 & H(!x1))),"Historically(LEquiv(AtomicProposition(""x2""),Once(LAnd(AtomicProposition(""x1""),Historically(Not(AtomicProposition(""x1"")))))))"
"Given a request signal x1, the grant signal x2 should previously be asserted.","x1: x1, x2: x2",H(x1 -> O(x2)),"Historically(LImplies(AtomicProposition(""x1""),Once(AtomicProposition(""x2""))))"
"It was never previously false that if x1 was true then x2 and x3 are true, but only before x4 was true (which will happen).","x1: x1, x2: x2, x3: x3, x4: x4",H(!O(x1 & !(x2 & x3)) S x4),"Historically(Since(Not(Once(LAnd(AtomicProposition(""x1""),Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))), AtomicProposition(""x4"")))"
"There are 2 clients who perform read/write on the same file. Only one client can write at a time and while writing no one can read the file. x1 was true if client 1 was writing, x2 was true if client 2 was writing, x3 was true was true if client 1 was reading, x4 was true if client 2 was reading.","x1: x1, x2: x2, x3: x3, x4: x4",H(!(x1 & x2) & !(x1 & (x3 | x4)) & !(x2 & (x3 | x4))),"Historically(LAnd(LAnd(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Not(LAnd(AtomicProposition(""x1""),LOr(AtomicProposition(""x3""),AtomicProposition(""x4""))))),Not(LAnd(AtomicProposition(""x2""),LOr(AtomicProposition(""x3""),AtomicProposition(""x4""))))))"
It was historically true that x1 was true and that x1 will previously become false.,x1: x1,H(x1) & O(!x1),"LAnd(Historically(AtomicProposition(""x1"")),Once(Not(AtomicProposition(""x1""))))"
The pattern of true and false of x1 in the first 3 entries repeats.,x1: x1,H((x1 & Y(!x1) & Y(Y(x1))) <-> Y(Y(Y(x1 & Y(!x1) & Y(Y(x1))))),ERROR
"x1 starts true, and then never again becomes true.",x1: x1,x1 & H(!x1),"LAnd(AtomicProposition(""x1""),Historically(Not(AtomicProposition(""x1""))))"
"x1 will historically be true if x2 was false, unless x3 was also true.","x1: x1, x2: x2, x3: x3",H((!x2 & !x3) -> x1),"Historically(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))"
x1 starts true and was true exactly every third state.,x1: x1,x1 & H(Y(Y(Y(x1)))) & H(!x1 & !Y(x1) & !Y(Y(x1))),"LAnd(LAnd(AtomicProposition(""x1""),Historically(Yesterday(Yesterday(Yesterday(AtomicProposition(""x1"")))))),Historically(LAnd(LAnd(Not(AtomicProposition(""x1"")),Not(Yesterday(AtomicProposition(""x1"")))),Not(Yesterday(Yesterday(AtomicProposition(""x1"")))))))"
