Natural Language,Ground Truth,Atomic Proposition,AST
it eventually holds that if x1 is true then x2 is true thereafter,F(x1 -> G(x2)),"x1 : x1 , x2 : x2","Eventually(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
"whenever x1 is true, it becomes false in the next state and true again in the state after that",G(x1 -> (X(!x1) & X(X(x1)))),x1 : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
x1 is true sometime after 4 or more transitions,X(X(X(X(F(x1))))),x1 : x1,"Next(Next(Next(Next(Eventually(AtomicProposition(""x1""))))))"
x1 is true in exactly one state.,F(x1) & G(x1 -> X(G(!x1))),x1 : x1,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
"Considering x1 and x2 as two threads both attempting to add lock on a variable. describe the rule that ""No more than one thread can have that lock"". Take true as success on locking and false as failure.",G((x1 & !x2) | (!x1 & x2) | (!x1 & !x2)),"x1 : x1 , x2 : x2","Always(LOr(LOr(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))))"
Make x2 hold in any and only those states which come after the last state in which x1 holds.,G (x1-> X(!x1 U X2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""X2"")))))"
"Given a request signal x1, the grant signal x2 should eventually be asserted.",G(x1 -> F(X(x2))),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Eventually(Next(AtomicProposition(""x2"")))))"
"If it at least rains once, or on alternating days, (rain being the boolean x1), the bean will eventually sprout (x2).",x1 & X(!x1) | !x1 & X(x1) -> x2,"""rain"" : x1 , ""sprout"" : x2","LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))"
x1 is true exactly twice,F(x1 & X(F(x1 & G(!x1)))),x1 : x1,"Eventually(LAnd(AtomicProposition(""x1""),Next(Eventually(LAnd(AtomicProposition(""x1""),Always(Not(AtomicProposition(""x1""))))))))"
It is eventually true that x1 is always true when x2 and x3 false.,F(!x2 & !x3 -> G(x1)),"x1 : x1 , x2 : x2 , x3 : x3","Eventually(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x1""))))"
"for every state if x1 is true, then x2 and x3 should be false, if x2 or x3 is true, x1 is false.",G(x1->!(x2 & x3) & ((x2 | x3)->!x1)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),LAnd(Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1""))))))"
x1 is always eventually true unless x2 is false and x3's next state is true,G(F(x1) U (!x2) & X(x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LAnd(Until(Eventually(AtomicProposition(""x1"")), Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))))"
It is always the case that x1 happens immediately before x2.,G(x1 -> X(x2)),"x1 : x1 , x2 : x2","Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2""))))"
If x1 is true in the next step then x1 will always eventually be true.,G(X(x1) & G(F(x1))),x1 : x1,"Always(LAnd(Next(AtomicProposition(""x1"")),Always(Eventually(AtomicProposition(""x1"")))))"
"It's always true that if x1 is true that in the previous state x1 is false, and that x1 was true 2 states ago",G(x1 -> (X(!x1) & X(X(x1)))),x1 : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
x3 is true if and only if x1 and x2 are true in the previous state and x1 and x2 are eventually true.,G (x3 <-> (X(x1 & x2) & F(x1 & x2))),"x1 : x1 , x2 : x2 , x3 : x3","Always(LEquiv(AtomicProposition(""x3""),LAnd(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))"
x1 is sometimes true until x2 is true and must be false after (x1),(x1 U x2) & G(x2 -> F (!x1)),"x1 : x1 , x2 : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(LImplies(AtomicProposition(""x2""),Eventually(Not(AtomicProposition(""x1""))))))"
"It always holds that after x1 is true, x2 will be true. x3 will not be true until both x1 and x2 are true.",G(x1 ->F(x2)) & G(!x3 U (x1 & x2)),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Always(Until(Not(AtomicProposition(""x3"")), LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
"if (x1 and x2) is eventually true, then x1 is false until it is true. Otherwise, if x2 is eventually true, then x1 is also eventually true.",F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),"x1 : x1 , x2 : x2","LImplies(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LImplies(LAnd(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x1""))))"
"Given states x1, x2, and x3: always transitioning in a cycle (ex. x1 -> x2 -> x3 -> x1 ...)",G(x1->X(x2)) & G(x2->X(x3)) & G(x3->X(x1)),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(LAnd(Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2"")))),Always(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x3""))))),Always(LImplies(AtomicProposition(""x3""),Next(AtomicProposition(""x1"")))))"
"If x1 is always true, then x2 will always be true until x3 is false",G(x1) -> G(x2) U (!x3),"x1 : x1 , x2 : x2 , x3 : x3","LImplies(Always(AtomicProposition(""x1"")),Until(Always(AtomicProposition(""x2"")), Not(AtomicProposition(""x3""))))"
x2 and x3 will become true on the same step x1 will become true the step after x2 becomes true x4 will be true until x1 is true x2 will be true at some point,G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),"x1 : x1 , x2 : x2 , x3 : x3, x4 : x4","Always(LAnd(LAnd(LAnd(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),Next(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x1""))))),Always(Until(AtomicProposition(""x4""), AtomicProposition(""x1"")))),Eventually(AtomicProposition(""x2""))))"
"Call x1 the variable of, did I take my medicine? I try to always take my medicine on time, but sometimes I forget. However, I never forget more than once in a row.",G(!x1 -> X(x1)),"""did I take my medicine?"" : x1","Always(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))"
Parents with high education will always have children who would also pursue education.,G(x1 -> G(x2)),"""Parents with high education"" : x1 , ""children who would also pursue education"": x2","Always(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
"The variable x1 will be true at least once, but at some point it will never be true again",!x1 U F(x1) & X(G(!x1)),x1 : x1,"LAnd(Until(Not(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))),Next(Always(Not(AtomicProposition(""x1"")))))"
"if x1 is true, x2 and x3 is false",G(x1-> !(x2 & x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LImplies(AtomicProposition(""x1""),Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))"
"x1 is always true until x2 is true or x3 is true, and x3 will be true eventually.",G(x1 U (x2 | x3) & F(x3)),"x1 : x1 , x2 : x2 , x3 : x3","Always(LAnd(Until(AtomicProposition(""x1""), LOr(AtomicProposition(""x2""),AtomicProposition(""x3""))),Eventually(AtomicProposition(""x3""))))"
x3 is always true if x1 and x2 are true in the previous state. x3 will eventually be true.,G((x1 & x2) ->X(x3)) & F(x3),"x1 : x1 , x2 : x2 , x3 : x3","LAnd(Always(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))),Eventually(AtomicProposition(""x3"")))"
x2 is never true or x2 is true until x1 is true,G(!x2) | G(x2 U x1),"x1 : x1 , x2 : x2","LOr(Always(Not(AtomicProposition(""x2""))),Always(Until(AtomicProposition(""x2""), AtomicProposition(""x1""))))"
Jack got 50 in his midterm exam but he didn't want to fail that course and Jack had 100 in his final.,x1 & x2 & X(x3),"midterm50: x1 , wantFail : x2 , final100 : x3","LAnd(LAnd(AtomicProposition(""x1""),LNot(AtomicProposition(""x2""))),AtomicProposition(""x3""))"
x1 and x2 will eventually become true at the same time.,G(F(x1 & x2)),"x1 : x1 , x2 : x2","Always(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
"Whenever the Red light is on, it turns off in the next state and on again in the state after that.",G (x1 ->(X(!x1) & X(X(x1)))),"""Red light"" : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
